Stock Name,Date,Open,Close,Predicted Price,High,Low,Volume,Adj Open,Adj Close,Adj High,Adj Low,Adj Volume,Dividend Cash,Split Factor
GOOG,2016-06-17 00:00:00+00:00,708.65,691.72,715.85,708.82,688.4515,3402357,708.65,691.72,708.82,688.4515,3402357,0,1
GOOG,2016-06-20 00:00:00+00:00,698.77,693.71,707,702.48,693.41,2082538,698.77,693.71,702.48,693.41,2082538,0,1
GOOG,2016-06-21 00:00:00+00:00,698.4,695.94,698.5966667,702.77,692.01,1465634,698.4,695.94,702.77,692.01,1465634,0,1
GOOG,2016-06-22 00:00:00+00:00,699.06,697.46,693.79,700.86,693.0819,1184318,699.06,697.46,700.86,693.0819,1184318,0,1
GOOG,2016-06-23 00:00:00+00:00,697.45,701.87,695.7033333,701.95,687,2171415,697.45,701.87,701.95,687,2171415,0,1
GOOG,2016-06-24 00:00:00+00:00,675.17,675.22,698.4233333,689.4,673.45,4449022,675.17,675.22,689.4,673.45,4449022,0,1
GOOG,2016-06-27 00:00:00+00:00,671,668.26,691.5166667,672.3,663.284,2641085,671,668.26,672.3,663.284,2641085,0,1
GOOG,2016-06-28 00:00:00+00:00,678.97,680.04,681.7833333,680.33,673,2173762,678.97,680.04,680.33,673,2173762,0,1
GOOG,2016-06-29 00:00:00+00:00,683,684.11,674.5066667,687.4292,681.41,1932561,683,684.11,687.4292,681.41,1932561,0,1
GOOG,2016-06-30 00:00:00+00:00,685.47,692.1,677.47,692.32,683.65,1597714,685.47,692.1,692.32,683.65,1597714,0,1
GOOG,2016-07-01 00:00:00+00:00,692.2,699.21,685.4166667,700.65,692.1301,1344710,692.2,699.21,700.65,692.1301,1344710,0,1
GOOG,2016-07-05 00:00:00+00:00,696.06,694.49,691.8066667,696.94,688.88,1462616,696.06,694.49,696.94,688.88,1462616,0,1
GOOG,2016-07-06 00:00:00+00:00,689.98,697.77,695.2666667,701.68,689.09,1411925,689.98,697.77,701.68,689.09,1411925,0,1
GOOG,2016-07-07 00:00:00+00:00,698.08,695.36,697.1566667,698.2,688.215,1304200,698.08,695.36,698.2,688.215,1304200,0,1
GOOG,2016-07-08 00:00:00+00:00,699.5,705.63,695.8733333,705.71,696.435,1575166,699.5,705.63,705.71,696.435,1575166,0,1
GOOG,2016-07-11 00:00:00+00:00,708.05,715.09,699.5866667,716.51,707.24,1111762,708.05,715.09,716.51,707.24,1111762,0,1
GOOG,2016-07-12 00:00:00+00:00,719.12,720.64,705.36,722.94,715.91,1336921,719.12,720.64,722.94,715.91,1336921,0,1
GOOG,2016-07-13 00:00:00+00:00,723.62,716.98,713.7866667,724,716.85,935876,723.62,716.98,724,716.85,935876,0,1
GOOG,2016-07-14 00:00:00+00:00,721.58,720.95,717.57,722.21,718.03,950193,721.58,720.95,722.21,718.03,950193,0,1
GOOG,2016-07-15 00:00:00+00:00,725.73,719.85,719.5233333,725.74,719.055,1279339,725.73,719.85,725.74,719.055,1279339,0,1
GOOG,2016-07-18 00:00:00+00:00,722.71,733.78,719.26,736.13,721.19,1295476,722.71,733.78,736.13,721.19,1295476,0,1
GOOG,2016-07-19 00:00:00+00:00,729.89,736.96,724.86,736.99,729,1227486,729.89,736.96,736.99,729,1227486,0,1
GOOG,2016-07-20 00:00:00+00:00,737.33,741.19,730.1966667,742.13,737.1,1289671,737.33,741.19,742.13,737.1,1289671,0,1
GOOG,2016-07-21 00:00:00+00:00,740.36,738.63,737.31,741.69,735.831,1026306,740.36,738.63,741.69,735.831,1026306,0,1
GOOG,2016-07-22 00:00:00+00:00,741.86,742.74,738.9266667,743.24,736.56,1259823,741.86,742.74,743.24,736.56,1259823,0,1
GOOG,2016-07-25 00:00:00+00:00,740.67,739.77,740.8533333,742.61,737.5,1032432,740.67,739.77,742.61,737.5,1032432,0,1
GOOG,2016-07-26 00:00:00+00:00,739.04,738.42,740.38,741.69,734.27,1186738,739.04,738.42,741.69,734.27,1186738,0,1
GOOG,2016-07-27 00:00:00+00:00,738.28,741.77,740.31,744.46,737,1512517,738.28,741.77,744.46,737,1512517,0,1
GOOG,2016-07-28 00:00:00+00:00,747.04,745.91,739.9866667,748.65,739.3,3530169,747.04,745.91,748.65,739.3,3530169,0,1
GOOG,2016-07-29 00:00:00+00:00,772.71,768.79,742.0333333,778.55,766.77,3841482,772.71,768.79,778.55,766.77,3841482,0,1
GOOG,2016-08-01 00:00:00+00:00,761.09,772.88,752.1566667,780.43,761.09,2700470,761.09,772.88,780.43,761.09,2700470,0,1
GOOG,2016-08-02 00:00:00+00:00,768.69,771.07,762.5266667,775.84,767.85,1784525,768.69,771.07,775.84,767.85,1784525,0,1
GOOG,2016-08-03 00:00:00+00:00,767.18,773.18,770.9133333,773.21,766.82,1287421,767.18,773.18,773.21,766.82,1287421,0,1
GOOG,2016-08-04 00:00:00+00:00,772.22,771.61,772.3766667,774.07,768.795,1140254,772.22,771.61,774.07,768.795,1140254,0,1
GOOG,2016-08-05 00:00:00+00:00,773.78,782.22,771.9533333,783.04,772.34,1801205,773.78,782.22,783.04,772.34,1801205,0,1
GOOG,2016-08-08 00:00:00+00:00,782,781.76,775.67,782.63,778.091,1107857,782,781.76,782.63,778.091,1107857,0,1
GOOG,2016-08-09 00:00:00+00:00,781.1,784.26,778.53,788.94,780.57,1318894,781.1,784.26,788.94,780.57,1318894,0,1
GOOG,2016-08-10 00:00:00+00:00,783.75,784.68,782.7466667,786.8123,782.778,786363,783.75,784.68,786.8123,782.778,786363,0,1
